,CASEID,ADDRESS,NEIGH,NEIGH-Income,ZIP,POLICED,COUNCILD,SOURCE,Sum SOURCE ,CATEGORY,Sum CATEGORY ,DAYTOCLOSE,Sum DAYTOCLOSE,TYPE,CATTYPE,GROUP311,VIS_STREET,DEPT,WORKGRP,REQTYPE,DETAIL,CREATEDATE,CREATTIME,CREATEMO,CREATEYR,STATUS,EXCEEDTIME,CLOSEDATE,CLOSEMO,CLOSEYR,DAYTOCLOSE.1,ADDGEOC,COUNTY,Latitude,Longitude,APN,CASEURL
5094,2019171312,4018 E 56th Ter,Swope Parkway-Elmwood,L,64130,Metro,5,PHONE,4440,Animals / Pets,,0,603,Wildlife,Animals / Pets Wildlife,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Wildlife-Injured,Injured,9/25/2019,1:05 PM,9,2019,RESOL,N,9/25/2019,9.0,2019.0,0.0,"4018 E 56th Ter64130
(39.02298, -94.537881)",Jackson,39.02298,-94.537881,36910,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019171312
5093,2019171029,3915 Myrtle Ave,Vineyard Northwest,L,64130,East,3,PHONE,4440,Animals / Pets,,1,1102,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Non-Aggressive,At Large - Non-Aggressive,9/25/2019,8:22 AM,9,2019,RESOL,N,9/26/2019,9.0,2019.0,1.0,"3915 Myrtle Ave64130
(39.054255, -94.537173)",Jackson,39.054255,-94.537173,30384,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019171029
5092,2019171412,3844 College Ave,Oak Park Northwest,L,64128,East,3,PHONE,4440,Animals / Pets,,1,1102,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-Confined,Confined,9/25/2019,2:44 PM,9,2019,RESOL,N,9/26/2019,9.0,2019.0,1.0,"3844 College Ave64128
(39.055304, -94.545844)",Jackson,39.055304,-94.54584399999999,29306,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019171412
5091,2019171640,2803 Benton Plz,18th And Vine And Downtown East,L,64127,East,3,PHONE,4440,Animals / Pets,,2,503,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Non-Aggressive,At Large - Non-Aggressive,9/25/2019,6:54 PM,9,2019,RESOL,N,9/27/2019,9.0,2019.0,2.0,"2803 Benton Plz64127
(39.091826, -94.548677)",Jackson,39.091826,-94.548677,11232,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019171640
5090,2019171637,4300 E 18th St,East Community Team North,L,64127,East,3,PHONE,4440,Animals / Pets,,2,503,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Aggressive,At Large - Aggressive,9/25/2019,6:51 PM,9,2019,RESOL,N,9/27/2019,9.0,2019.0,2.0,"4300 E 18th St64127
(39.090503, -94.532003)",Jackson,39.090503000000005,-94.532003,18350,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019171637
5089,2019171406,3844 College Ave,Oak Park Northwest,L,64128,East,3,PHONE,4440,Animals / Pets,,21,43,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Inside Residence,Inside Home,9/25/2019,2:35 PM,9,2019,RESOL,N,10/16/2019,10.0,2019.0,21.0,"3844 College Ave64128
(39.055304, -94.545844)",Jackson,39.055304,-94.54584399999999,29306,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019171406
5088,2019171423,1219 Tracy Ave,Paseo West,L,64106,Central,3,PHONE,4440,Animals / Pets,,2,503,Questionable Activity,Animals / Pets Questionable Activity,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Questionable Activity-Other,Other,9/25/2019,3:04 PM,9,2019,RESOL,Y,9/27/2019,9.0,2019.0,2.0,"1219 Tracy Ave64106
(39.098689, -94.567172)",Jackson,39.098689,-94.567172,12212,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019171423
5087,2019171270,6824 Bellefontaine Ave,Self Help Neighborhood Council,L,64132,Metro,5,PHONE,4440,Animals / Pets,,1,1102,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Curb,Curb,9/25/2019,12:02 PM,9,2019,RESOL,N,9/26/2019,9.0,2019.0,1.0,"6824 Bellefontaine Ave64132
(39.002279, -94.551197)",Jackson,39.002278999999994,-94.551197,2797,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019171270
5086,2019171031,4601 E 18th St,East Community Team North,L,64127,East,3,PHONE,4440,Animals / Pets,,1,1102,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Curb,Curb,9/25/2019,8:25 AM,9,2019,RESOL,N,9/26/2019,9.0,2019.0,1.0,"4601 E 18th St64127
(39.089877, -94.52881)",Jackson,39.089877,-94.52881,18284,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019171031
5085,2019171030,4135 N Kansas Ave,Chaumiere,L,64117,Shoal Creek,1,PHONE,4440,Animals / Pets,,1,1102,Cruelty or Neglect,Animals / Pets Cruelty or Neglect,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Cruelty or Neglect-Abuse / Injury / Death,Abuse / Injury / Death,9/25/2019,8:24 AM,9,2019,RESOL,N,9/26/2019,9.0,2019.0,1.0,"4135 N Kansas Ave64117
(39.168991, -94.544973)",Clay,39.168991,-94.544973,77456,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019171030
3817,2019186670,4402 E 10th St,Lykins,L,64127,East,3,PHONE,4440,Animals / Pets,,28,29,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Inside Residence,Inside Home,10/30/2019,11:32 AM,10,2019,RESOL,Y,11/27/2019,11.0,2019.0,28.0,"4402 E 10th St64127
(39.101187, -94.530069)",Jackson,39.101187,-94.530069,8307,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019186670
3818,2019186849,3200 Lockridge St,Santa Fe,L,64128,East,3,PHONE,4440,Animals / Pets,,28,29,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Inside Residence,Inside Home,10/30/2019,3:00 PM,10,2019,RESOL,Y,11/27/2019,11.0,2019.0,28.0,"3200 Lockridge St64128
(39.07608, -94.545793)",Jackson,39.07608,-94.545793,24390,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019186849
3819,2019186500,5615 E 16th Ter,West Blue Valley,L,64127,East,3,PHONE,4440,Animals / Pets,,0,603,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Non-Aggressive,At Large - Non-Aggressive,10/30/2019,8:33 AM,10,2019,RESOL,N,10/30/2019,10.0,2019.0,0.0,"5615 E 16th Ter64127
(39.091278, -94.516424)",Jackson,39.091278,-94.516424,9386,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019186500
3820,2019186537,1924 Van Brunt Blvd,East Community Team North,L,64127,East,3,PHONE,4440,Animals / Pets,,0,603,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-Injured,Injured,10/30/2019,9:08 AM,10,2019,RESOL,N,10/30/2019,10.0,2019.0,0.0,"1924 Van Brunt Blvd64127
(39.088769, -94.522237)",Jackson,39.088769,-94.522237,17752,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019186537
3821,2019186736,3835 E 61st St,Swope Parkway-Elmwood,L,64130,Metro,5,EMAIL,248,Animals / Pets,,0,603,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Non-Aggressive,At Large - Non-Aggressive,10/30/2019,12:44 PM,10,2019,RESOL,N,10/30/2019,10.0,2019.0,0.0,"3835 E 61st St64130
(39.014495, -94.540224)",Jackson,39.014495000000004,-94.540224,817,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019186736
3861,2019186393,6707 Bales Ave,Self Help Neighborhood Council,L,64132,Metro,5,PHONE,4440,Animals / Pets,,1,1102,Cruelty or Neglect,Animals / Pets Cruelty or Neglect,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Cruelty or Neglect-Shelter / Food / Water,Shelter / Food / Water,10/29/2019,5:17 PM,10,2019,RESOL,N,10/30/2019,10.0,2019.0,1.0,"6707 Bales Ave64132
(39.004386, -94.545766)",Jackson,39.004386,-94.545766,2327,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019186393
679,2020020902,4007 E 53rd St,Swope Parkway-Elmwood,L,64130,Metro,5,PHONE,4440,Animals / Pets,,65,10,Services,Animals / Pets Services,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Services-Feedback,Feedback,2/11/2020,11:30 AM,2,2020,RESOL,Y,4/16/2020,4.0,2020.0,65.0,"4007 E 53rd St64130
(39.029366, -94.538511)",Jackson,39.029365999999996,-94.538511,35824,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020020902
3862,2019186135,4117 E 8th St,Lykins,L,64124,East,3,PHONE,4440,Animals / Pets,,3,467,Cruelty or Neglect,Animals / Pets Cruelty or Neglect,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Cruelty or Neglect-Inclement Weather,Inclement Weather,10/29/2019,1:15 PM,10,2019,RESOL,N,11/1/2019,11.0,2019.0,3.0,"4117 E 8th St64124
(39.102616, -94.533516)",Jackson,39.102616,-94.533516,9593,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019186135
678,2020020773,3807 SOUTH BENTON AVE,Oak Park Northwest,L,64128,East,3,PHONE,4440,Animals / Pets,,10,59,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Outside,Outside,2/11/2020,9:33 AM,2,2020,RESOL,N,2/21/2020,2.0,2020.0,10.0,"3807 SOUTH BENTON AVE64128
(39.056752, -94.549709)",Jackson,39.056752,-94.549709,28859,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020020773
676,2020020986,3120 Stadium Dr,Boulevard Village,L,64128,East,3,PHONE,4440,Animals / Pets,,1,1102,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Curb,Curb,2/11/2020,1:24 PM,2,2020,RESOL,N,2/12/2020,2.0,2020.0,1.0,"3120 Stadium Dr64128
(39.068336, -94.520294)",Jackson,39.068335999999995,-94.52029399999999,23283,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020020986
1498,2020007287,1233 White Ave,West Blue Valley,L,64126,East,3,PHONE,4440,Animals / Pets,,36,18,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Inside Residence,Inside Home,1/16/2020,5:12 PM,1,2020,RESOL,Y,2/21/2020,2.0,2020.0,36.0,"1233 White Ave64126
(39.096303, -94.511976)",Jackson,39.096303000000006,-94.511976,6391,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020007287
1497,2020006963,4600 E 63rd St,Swope Parkway-Elmwood,L,64130,Metro,5,EMAIL,248,Animals / Pets,,6,207,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Street,Street,1/16/2020,10:10 AM,1,2020,RESOL,Y,1/22/2020,1.0,2020.0,6.0,"4600 E 63rd St64130
(39.013429, -94.531992)",Jackson,39.013428999999995,-94.531992,493,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020006963
1496,2020007185,4801 E Linwood Blvd FL 3,Boulevard Village,L,64128,East,3,PHONE,4440,Animals / Pets,,6,207,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Curb,Curb,1/16/2020,3:14 PM,1,2020,RESOL,Y,1/22/2020,1.0,2020.0,6.0,"4801 E Linwood Blvd64128
(39.063677, -94.527741)",Jackson,39.063677,-94.527741,23271,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020007185
1495,2020006853,4800 E 63rd St,Swope Parkway-Elmwood,L,64130,Metro,5,PHONE,4440,Animals / Pets,,6,207,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Street,Street,1/16/2020,8:07 AM,1,2020,RESOL,Y,1/22/2020,1.0,2020.0,6.0,"4800 E 63rd St64130
(39.014493, -94.529933)",Jackson,39.014493,-94.529933,492,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020006853
5149,2019170594,5504 E 16th St,West Blue Valley,L,64127,East,3,PHONE,4440,Animals / Pets,,1,1102,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Owned,At Large - Owned,9/24/2019,12:15 PM,9,2019,RESOL,N,9/25/2019,9.0,2019.0,1.0,"5504 E 16th St64127
(39.093057, -94.517906)",Jackson,39.093057,-94.51790600000001,9324,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019170594
5148,2019170434,3914 Myrtle Ave,Vineyard Northwest,L,64130,East,3,PHONE,4440,Animals / Pets,,2,503,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Non-Aggressive,At Large - Non-Aggressive,9/24/2019,10:01 AM,9,2019,RESOL,N,9/26/2019,9.0,2019.0,2.0,"3914 Myrtle Ave64130
(39.054133, -94.537808)",Jackson,39.054133,-94.537808,30520,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019170434
5147,2019170440,910 E 5th St,Columbus Park,L,64106,Central,4,PHONE,4440,Animals / Pets,,3,467,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Non-Aggressive,At Large - Non-Aggressive,9/24/2019,10:06 AM,9,2019,RESOL,N,9/27/2019,9.0,2019.0,3.0,"910 E 5th St64106
(39.110536, -94.572835)",Jackson,39.110535999999996,-94.572835,264985,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019170440
5146,2019170721,5641 Bellefontaine Ave,North Town Fork Creek,L,64130,Metro,5,PHONE,4440,Animals / Pets,,2,503,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Inside Residence,Inside Home,9/24/2019,2:32 PM,9,2019,RESOL,N,9/26/2019,9.0,2019.0,2.0,"5641 Bellefontaine Ave64130
(39.023025, -94.549087)",Jackson,39.023025,-94.549087,36459,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019170721
5145,2019170648,3430 South Benton Ave,Oak Park Northwest,L,64128,East,3,PHONE,4440,Animals / Pets,,83,7,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Outside,Outside,9/24/2019,1:27 PM,9,2019,RESOL,Y,12/16/2019,12.0,2019.0,83.0,"3430 South Benton Ave64128
(39.063174, -94.550044)",Jackson,39.063174,-94.550044,25455,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019170648
5144,2019170928,3835 Bellefontaine Ave,Oak Park Northwest,L,64128,East,3,PHONE,4440,Animals / Pets,,22,50,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Inside Residence,Inside Home,9/24/2019,6:04 PM,9,2019,RESOL,Y,10/16/2019,10.0,2019.0,22.0,"3835 Bellefontaine Ave64128
(39.05581, -94.547554)",Jackson,39.05581,-94.547554,29273,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019170928
5143,2019170495,5735 Prospect Ave,North Town Fork Creek,L,64130,Metro,5,PHONE,4440,Animals / Pets,,1,1102,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Street,Street,9/24/2019,11:00 AM,9,2019,RESOL,N,9/25/2019,9.0,2019.0,1.0,"5735 Prospect Ave64130
(39.021684, -94.555153)",Jackson,39.021684,-94.555153,36667,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019170495
5142,2019170733,1311 Highland Ave,Parkview,L,64106,Central,3,PHONE,4440,Animals / Pets,,2,503,Cruelty or Neglect,Animals / Pets Cruelty or Neglect,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Cruelty or Neglect-Abandonment,Abandonment,9/24/2019,2:45 PM,9,2019,RESOL,N,9/26/2019,9.0,2019.0,2.0,"1311 Highland Ave64106
(39.097381, -94.561226)",Jackson,39.097381,-94.561226,12194,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019170733
5141,2019170608,1900 E 10th St,Forgotten Homes,L,64127,Central,3,PHONE,4440,Animals / Pets,,3,467,Cruelty or Neglect,Animals / Pets Cruelty or Neglect,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Cruelty or Neglect-Abandonment,Abandonment,9/24/2019,12:40 PM,9,2019,RESOL,N,9/27/2019,9.0,2019.0,3.0,"1900 E 10th St64127
(39.102296, -94.558758)",Jackson,39.102296,-94.558758,253233,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019170608
1494,2020007365,3743 South Benton Ave,Oak Park Northwest,L,64128,East,3,PHONE,4440,Animals / Pets,,165,4,Cruelty or Neglect,Animals / Pets Cruelty or Neglect,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Cruelty or Neglect-Inclement Weather,Inclement Weather,1/16/2020,6:32 PM,1,2020,RESOL,Y,6/29/2020,6.0,2020.0,165.0,"3743 South Benton Ave64128
(39.05737, -94.549678)",Jackson,39.05737,-94.549678,28865,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020007365
1493,2020006897,2625 E 8th St,Independence Plaza,L,64124,East,3,PHONE,4440,Animals / Pets,,0,603,Cruelty or Neglect,Animals / Pets Cruelty or Neglect,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Cruelty or Neglect-Shelter / Food / Water,Shelter / Food / Water,1/16/2020,8:55 AM,1,2020,RESOL,N,1/16/2020,1.0,2020.0,0.0,"2625 E 8th St64124
(39.103182, -94.550137)",Jackson,39.103182000000004,-94.550137,10451,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020006897
1492,2020006921,2200 Hardesty Ave,South Blue Valley,L,64127,East,3,PHONE,4440,Animals / Pets,,180,424,Cruelty or Neglect,Animals / Pets Cruelty or Neglect,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Cruelty or Neglect-Shelter / Food / Water,Shelter / Food / Water,1/16/2020,9:19 AM,1,2020,OPEN,N,,,,,"2200 Hardesty Ave64127
(39.084974, -94.520164)",Jackson,39.084974,-94.52016400000001,17825,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020006921
